Region label,Unit of measure,Commodity,Year,Value
Western Australia,tonnes,Maize,1919,0
Tasmania,tonnes,Maize,1919,0
Northern Territory,tonnes,Maize,1919,0
Australian Capital Territory,tonnes,Maize,1919,0
New South Wales,tonnes,Oats,1919,23100
Victoria,tonnes,Oats,1919,95700
Queensland,tonnes,Oats,1919,100
South Australia,tonnes,Oats,1919,27900
Western Australia,tonnes,Oats,1919,27100
Tasmania,tonnes,Oats,1919,15400
Northern Territory,tonnes,Oats,1919,0
Australian Capital Territory,tonnes,Oats,1919,0
New South Wales,tonnes,Wheat,1919,498700
Victoria,tonnes,Wheat,1919,686900
Queensland,tonnes,Wheat,1919,2800
South Australia,tonnes,Wheat,1919,623900
Western Australia,tonnes,Wheat,1919,240600
Tasmania,tonnes,Wheat,1919,5100
Northern Territory,tonnes,Wheat,1919,0
Australian Capital Territory,tonnes,Wheat,1919,0
New South Wales,tonnes,Potatoes,1919,30800
Victoria,tonnes,Potatoes,1919,139700
Queensland,tonnes,Potatoes,1919,11300
South Australia,tonnes,Potatoes,1919,13400
Western Australia,tonnes,Potatoes,1919,11900
Tasmania,tonnes,Potatoes,1919,57400
Northern Territory,tonnes,Potatoes,1919,0
Australian Capital Territory,tonnes,Potatoes,1919,0
New South Wales,tonnes,Barley,1920,900
Victoria,tonnes,Barley,1920,34700
Queensland,tonnes,Barley,1920,800
South Australia,tonnes,Barley,1920,55600
Western Australia,tonnes,Barley,1920,2600
Tasmania,tonnes,Barley,1920,2700
Northern Territory,tonnes,Barley,1920,0
Australian Capital Territory,tonnes,Barley,1920,0
New South Wales,tonnes,Maize,1920,102900
Victoria,tonnes,Maize,1920,22300
Queensland,tonnes,Maize,1920,51100
South Australia,tonnes,Maize,1920,0
Western Australia,tonnes,Maize,1920,0
Tasmania,tonnes,Maize,1920,0
Northern Territory,tonnes,Maize,1920,0
Australian Capital Territory,tonnes,Maize,1920,0
New South Wales,tonnes,Oats,1920,10600
Victoria,tonnes,Oats,1920,119800
Queensland,tonnes,Oats,1920,100
South Australia,tonnes,Oats,1920,29600
Western Australia,tonnes,Oats,1920,45000
Tasmania,tonnes,Oats,1920,22500
Northern Territory,tonnes,Oats,1920,0
Australian Capital Territory,tonnes,Oats,1920,0
New South Wales,tonnes,Wheat,1920,119400
Victoria,tonnes,Wheat,1920,404400
Queensland,tonnes,Wheat,1920,8500
South Australia,tonnes,Wheat,1920,407500
Western Australia,tonnes,Wheat,1920,305300
