Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
Tasmania,tonnes,Wheat,1916,27000,hectares,19700
Northern Territory,tonnes,Wheat,1916,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1916,0,hectares,0
New South Wales,tonnes,Potatoes,1916,45200,hectares,7900
Victoria,tonnes,Potatoes,1916,176600,hectares,23000
Queensland,tonnes,Potatoes,1916,7600,hectares,2300
South Australia,tonnes,Potatoes,1916,13200,hectares,1800
Western Australia,tonnes,Potatoes,1916,14300,hectares,2000
Tasmania,tonnes,Potatoes,1916,81200,hectares,11900
Northern Territory,tonnes,Potatoes,1916,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1916,0,hectares,0
New South Wales,tonnes,Barley,1917,1700,hectares,2100
Victoria,tonnes,Barley,1917,40800,hectares,37600
Queensland,tonnes,Barley,1917,5700,hectares,5100
South Australia,tonnes,Barley,1917,39400,hectares,41900
Western Australia,tonnes,Barley,1917,3000,hectares,4500
Tasmania,tonnes,Barley,1917,2000,hectares,1900
Northern Territory,tonnes,Barley,1917,0,hectares,0
Australian Capital Territory,tonnes,Barley,1917,0,hectares,0
New South Wales,tonnes,Maize,1917,110100,hectares,62900
Victoria,tonnes,Maize,1917,29800,hectares,9300
Queensland,tonnes,Maize,1917,106400,hectares,66800
South Australia,tonnes,Maize,1917,0,hectares,0
Western Australia,tonnes,Maize,1917,0,hectares,0
Tasmania,tonnes,Maize,1917,0,hectares,0
Northern Territory,tonnes,Maize,1917,0,hectares,0
Australian Capital Territory,tonnes,Maize,1917,0,hectares,0
New South Wales,tonnes,Oats,1917,19700,hectares,27200
Victoria,tonnes,Oats,1917,150400,hectares,178700
Queensland,tonnes,Oats,1917,2000,hectares,2700
South Australia,tonnes,Oats,1917,33300,hectares,61400
Western Australia,tonnes,Oats,1917,30600,hectares,49500
Tasmania,tonnes,Oats,1917,18200,hectares,22300
Northern Territory,tonnes,Oats,1917,0,hectares,0
Australian Capital Territory,tonnes,Oats,1917,0,hectares,0
New South Wales,tonnes,Wheat,1917,996000,hectares,1540500
Victoria,tonnes,Wheat,1917,1392400,hectares,1264900
Queensland,tonnes,Wheat,1917,67000,hectares,92200
South Australia,tonnes,Wheat,1917,1244300,hectares,1124400
Western Australia,tonnes,Wheat,1917,438000,hectares,634000
Tasmania,tonnes,Wheat,1917,9500,hectares,11200
Northern Territory,tonnes,Wheat,1917,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1917,0,hectares,0
New South Wales,tonnes,Potatoes,1917,46100,hectares,9100
Victoria,tonnes,Potatoes,1917,191000,hectares,29800
Queensland,tonnes,Potatoes,1917,19800,hectares,3600
South Australia,tonnes,Potatoes,1917,20700,hectares,1900
Western Australia,tonnes,Potatoes,1917,16700,hectares,2400
Tasmania,tonnes,Potatoes,1917,68100,hectares,13900
Northern Territory,tonnes,Potatoes,1917,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1917,0,hectares,0
New South Wales,tonnes,Barley,1918,2200,hectares,2600
Victoria,tonnes,Barley,1918,44700,hectares,34400
Queensland,tonnes,Barley,1918,3300,hectares,3100
South Australia,tonnes,Barley,1918,37500,hectares,38700
Western Australia,tonnes,Barley,1918,800,hectares,2000
Tasmania,tonnes,Barley,1918,2200,hectares,2100
Northern Territory,tonnes,Barley,1918,0,hectares,0
Australian Capital Territory,tonnes,Barley,1918,0,hectares,0
New South Wales,tonnes,Maize,1918,88900,hectares,59000
Victoria,tonnes,Maize,1918,29300,hectares,8500
Queensland,tonnes,Maize,1918,104300,hectares,60500
South Australia,tonnes,Maize,1918,0,hectares,0
Western Australia,tonnes,Maize,1918,0,hectares,0
Tasmania,tonnes,Maize,1918,0,hectares,0
Northern Territory,tonnes,Maize,1918,0,hectares,0
Australian Capital Territory,tonnes,Maize,1918,0,hectares,0
New South Wales,tonnes,Oats,1918,26400,hectares,33400
Victoria,tonnes,Oats,1918,111400,hectares,118700
Queensland,tonnes,Oats,1918,800,hectares,1200
South Australia,tonnes,Oats,1918,22600,hectares,43100
Western Australia,tonnes,Oats,1918,16400,hectares,38700
Tasmania,tonnes,Oats,1918,10300,hectares,14100
Northern Territory,tonnes,Oats,1918,0,hectares,0
Australian Capital Territory,tonnes,Oats,1918,0,hectares,0
New South Wales,tonnes,Wheat,1918,1026400,hectares,1347400
Victoria,tonnes,Wheat,1918,1027000,hectares,1088700
Queensland,tonnes,Wheat,1918,28200,hectares,51700
South Australia,tonnes,Wheat,1918,780400,hectares,953300
Western Australia,tonnes,Wheat,1918,253100,hectares,505800
Tasmania,tonnes,Wheat,1918,6900,hectares,8800
Northern Territory,tonnes,Wheat,1918,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1918,0,hectares,0
